Citation,Response,True_label
"Recently, PD has also been detected in southern Italy, in areas previously considered free from the disease (Marcone et al., 1996).Although the aetiology of PD has been established, some problems concerning the epidemiology remain.Jensen et al. (1964) showed that pear psylla (Psylla pyricola Förster, now Cacopsylla pyricola Förster) transmits 'a virus' capable of causing PD disease.More recently transmission of the PD agent by C. pyricola in England (Davies et al., 1992) and by C. pyri L. in France (Lemoine, 1991) and Italy @@CITATION@@ , has been reported.Some aspects of the epidemiology were also studied in England using the vector C. pyricola (Davies et al., 1998). These authors detected PD phytoplasma in vectors collected in PD-affected orchards, over an entire year. In Italy, C. pyri is the predominant psyllid in pear orchards, but the relationship between this vector and the PD phytoplasma has yet to be clarified. ","1. Usage
2. Support
3. Neutral",neutral
"In 2007, the first extensive phylogenetic investigation to include a large sample of phytoplasma groups, other Mollicutes and Gram-positive bacteria showed that Mollicutes includes two main subclades: one comprising 46 phytoplasma strains and two Acholeplasma species, and the second including 14 representative Mollicutes from the other orders (Martini et al., 2007).The most recent phylogeny of phytoplasmas, based on 16S and including 145 taxa and two species of Acholeplasma, provided further insights, suggesting that each phylogenetically distinct subgroup is equivalent to a putative species in the provisional ""Ca.Phytoplasma"" genus (Harrison et al., 2015).Tenericutes bacteria have evolved a broad range of lifestyles, including free-living, commensalism and parasitism @@CITATION@@ Rivera-Tapia et al., 2002;Tully, 1996).Most of the well-known species are associated with humans or other vertebrates and are commensals inhabiting different organs. Some are suspected to be associated with diseases, whereas others are proven pathogens causing important diseases to animals (mycoplasmas) or plants (phytoplasmas and three species of Spiroplasma). Some free-living species are associated with inert substrates (e.g. ","1. Basis
2. Neutral
3. Support",neutral
"Bactericera nigricornis belong to the B. nigricornis group (Fig. 2C).It has been reported as a polyphagous species able to feed on wild species belonging to the families Amaranthaceae, Boraginaceae, Brassicaceae, Apiaceae, Liliaceae, Papaveraceae, and Solanaceae (Hodkinson et al. 1981; @@CITATION@@ Othmen et al. 2019;Antolínez et al. 2019).The level of polyphagy in this group is exceptional among Psylloidea, which are usually host-specific (Hodkinson 1974). Bactericera nigricornis is present in many countries (Ouvrard et al. 2020) but little is known about its biology and dispersal ability, although it has been reported overwintering on conifers (Cermák et al. 2008). Further research on the life cycle of this species in Apiaceae crops is needed to identify its overwintering hosts and migration habits from wild host species under Mediterranean conditions. ","1. Support
2. Similar
3. Motivation",neutral
"Pear decline (PD) has been reported from Europe, North America and Australia and is considered one of the most dangerous diseases of pear trees.The disease was first described as ""moria"" in Italy (Refatti, 1948) and later on in North America as virus disease (Jensen et al., 1964) transmitted by pear psylla (Psylla pyricola Förster) denominated nowadays Cacopsylla pyricola.After 1970, mycoplasmalike bodies were detected in sieve tubes of pear trees affected with pear decline (Hibino and Schneider, 1970) and in the pear psylla vector of pear decline @@CITATION@@ .More recently transmission of the PD agent by C. pyricola was demonstrated in England and PD phytoplasma was detected in vectors collected in PD-affected orchards (Davies et al., 1998;Kucerová, 2007). Investigations developed in Europe have showed that PD is transmitted by a new vector, Cacopsylla pyri, in France (Lemoine, 1991) and Italy (Carraro et al., 1998;2001). Phytoplasma associated with PD disease was detected also in Germany (Lorenz et al., 1995), Spain (Garcia-Chapa, 2003), Hungary ( Süle et al., 2007) and in Southern Australia (Schneider and Gibb, 1997). ","1. Neutral
2. Support
3. Similar",neutral
"Chinese and Taiwanese Cacopsylla chinensis sequences (Lee et al., 2007 @@CITATION@@ together form well-supported clusters in the NJ trees based on COI-tRNA leu -COII and 16S rDNA gene fragments (fig.2). The sequences of COI-tRNA leu -COII and 16S The mean intraspecific K2P distance is 0.1% in COI 658 bp (range 0-5.9%), 0.7% in COI 403 bp (range 0-5.5%), 1% in COI-tRNA leu -COII (range 0-5.9%) and 0.6% in 16S rDNA (range 0-3.8%), with a maximum observed value of 5.9% for C. maculatili (fig. 3, table 3). ","1. Support
2. Similar
3. Neutral",neutral
"In contrast, the JA pathway is induced in response to wounding, herbivore attack and necrotrophic pathogens [64].The development of different pathways in reaction to different threads enables plants to respond more specifically and is therefore more resource-efficient.An antagonistic crosstalk between JA/ABA and SA was detected in several plant species [25,65].Not surprisingly, some bacteria species utilize SA hydroxylase for a degradation of SA to catechol to suppress an adequate plant defence reaction @@CITATION@@ or evolved the production of effector proteins that interfere with SA regulated defence responses by activating JA pathway [67].This mechanism was also detected for phytoplasmas in Aster yellows-witches' broom phytoplasma (AY-WB). AY-WB produces the SAP11 effector that down-regulates the plant defence response by reducing lipoxygenase2 expression and JA production [68]. This down-regulation of defence mechanisms in AY-WB infected plants is advantageous to vector fitness [68]. ","1. Usage
2. Support
3. CoCoRes",neutral
"This is the first illustration of the mouthparts of C. chinensis in detail using scanning and transmission electron microscopy.The modified piercingesucking mouthparts of C. chinensis play an important role in host location and feeding.When feeding, it cuts into the tissues of host plants in order to suck sap, thereby injuring the leaves and stems of its host plants.The adult mouthpart morphology of C. chinensis is generally similar to that of other sternorrhynchan species described previously (Pollard, 1973; Tavella and Arzone, 1993; @@CITATION@@ Boyd, 2003;Wiesenborn, 2004;Rani and Madhavendra, 2005; Anderson et al., 2006;Garzo et al., 2012), consisting of a three-segmented labium which lies between the prothoracic coxae of the first and second pair of legs with a deep groove in the anterior side, a moderate number of sensilla, a stylet fascicle consisting of two mandibular and two maxillary stylets which are conjoined together forming a food canal (Fc) and a salivary canal (Sc), and a triangular labrum.The gross mouthpart morphology of C. chinensis is also very similar to that of the psyllids Diaphorina citri Kuwayama (Garzo et al., 2012) and Cacopsylla mali Schmidberger (Grove, 1919;Pollard, 1970), but not identical. The stylet fascicle of C. chinensis comprises a pair of mandibular stylets located externally which house a pair of maxillary stylets, as observed in aphids (Forbes, 1969(Forbes, , 1977;;Pollard, 1973) and other psyllids, including C. mali (Grove, 1919;Pollard, 1970), C. pyricola (Ullman and McLean, 1986) and D. citri (Garzo et al., 2012). The stylet fascicle proximal to the labium forms a large loop within a membranous crumena (Fig. 2B). ","1. Similar
2. Usage
3. Neutral",neutral
"It is a common pest in pear orchards in Japan (H.Inoue, pers.obs.) but not in Korea.The records of Psylla/Cacopsylla pyricola, the other west Palaearctic species reported from Korea, concern two species: that by Kwon (1983) C. maculatili and those by @@CITATION@@ Kim et al. ( , 2007)), Kang et al. (2012), Park et al. (2013) and Park et al. (2016) C. jukyungi.The records of Psylla/Cacopsylla pyricola from Japan and the Russian Far East are also likely misidentifications but without examination of relevant material their identity remains uncertain. Both C. jukyungi and C. maculatili are polyvoltine with seasonal dimorphism, a fact which was overlooked up to now. C. cinereosignata is the winter form of C. jukyungi and C. qiuzili the summer form of C. maculatili. ","1. Neutral
2. Support
3. Similar",neutral
"Nation-wide surveys for the presence of ESFY disease have only been conducted in stone fruit growing areas, e.g. in France (Jarausch et al. 1998), Turkey (Ulubaş Serçe et al. 2006), Spain (Sabaté et al. 2015) or Bulgaria (Etropolska et al. 2015), and confirmed a wide-spread presence of ESFY in orchards of susceptible species like apricots, Japanese plum and peach.During a survey between 2000and 2006, Jarausch et al. (2007b) ) could show that 'Ca.P. prunorum' as well as its vector, C. pruni, were present on all cultivated Prunus species in several stone fruit growing regions in Southwestern Germany.The role of wild Prunus for the spread of ESFY was first studied by @@CITATION@@ in the heavily ESFY-infected region Friuli-Venezia Giulia in Northeast Italy.They found 'Ca. P. prunorum' as well as C. pruni in P. spinosa and P. cerasifera also at sites far from stone-fruit orchards and concluded that the cycle of ESFY can be completed independently from the presence of ESFY-infected cultivated stone-fruit trees. These results were confirmed by Yvon et al. (2004) in a case study in Southeastern France who detected 'Ca. ","1. Support
2. Similar
3. Neutral",neutral
"The new leaves remain small and pale throughout the following spring.Symptom severity ranges from mild or slow wilting to quick wilting or death, depending on the weather conditions.The symptoms associated with PDTW resemble those of pear declines caused by phytoplasma elsewhere (Liu et al., 2007a).Since phytoplasmas are non-culturable, PCR amplification of ribosomal RNA genes and the 16S-23S rDNA intergenic spacer region (ISR) have become the conventional means of detecting and identifying them (Bosco et al., 2002; Davies et al., 1995; Seemüller et al., 1998; @@CITATION@@ .Sequences of 16S rDNA have been used to classify various phytoplasmas into groups of phylogenetic systems (Lee et al., 2007). Taxonomically, the phytoplasmas that Botanical Studies (2011) 52: 313-320. * Corresponding author: E-mail: cplin@ntu.edu.tw ","1. Usage
2. Support
3. Neutral",neutral
"The fruit tree diseases apple proliferation (AP), pear decline (PD) and European stone fruit yellows (ESFY), are of high economic significance, causing annual crop losses of around half a billion Euro in Europe, alone @@CITATION@@ 2].Intra-and interspecific differences in the response of fruit trees to these phytoplasma diseases have been observed over the last decades under both experimental and natural infection conditions [3,4]. Intraspecific differences have been explained by varying susceptibility of tree species and genotypes (rootstocks and cultivars) to phytoplasmas as well as virulence of phytoplasma strains [5][6][7][8][9]. However, only few studies provide firm data on host response, host-pathogen interaction and on anatomical, physiological and molecular basis of plant resistance [10], which is still poorly understood [4]. ","1. Basis
2. Motivation
3. Support",neutral
"For the aligned data set, phylogenetic trees were constructed using the neighbour-joining (NJ) algorithm with bootstrap support analysis (1000 replicates) in MEGA 6 based on a Kimura 2-Parameter (K2P) model.This has been the most widely used method for DNA barcoding analyses (e.g. Yeh et al., 1997;Shin et al., 2013;Gwiazdowski et al., 2015;Wu et al., 2016;Amouroux et al., 2017;Kanturski et al., 2018;Song et al., 2018), including previous studies on pear psyllids (Lee et al., 2008;Kang et al., 2012;Katoh et al., 2013Katoh et al., , 2014;;Chen et al., 2018).To compare our results with those papers, we preferred to use the same methodology despite some potential limitations, such as a poor fit of the K2P model at the species level @@CITATION@@ Collins et al., 2012).Eleven pear psyllid species of the genus Cacopsylla (Psyllidae: Psyllinae) were included into the analyses and two Acizzia species (Psyllidae: Acizzinae) were used as outgroups (table 1). Pairwise distances were also computed using MEGA 6 (Tamura et al., 2013). 1). ","1. Usage
2. Weakness
3. CoCoRes",weakness
"Although prezygotic barriers may hinder interspecific mating, cases of hybridization are still not scarce.Potential interspecific hybridization experiments performed between the two invasive termite species, Coptotermes formosanus and Coptotermes gestroi, in the United States have indicated that hybrids may be more active in tropical areas than in temperate regions (Su et al. 2017, Patel et al. 2019).Heterosis has also been proposed in two invasive fire ant species, Solenopsis invicta and Solenopsis richteri, in which the hybrid offspring outcompeted several native ant species and exhibited lower temperature tolerance than both parent species (James et al. 2002, Gibbons andSimberloff 2005).In psyllids, the acoustic signals transmitted through different host plants and the related structural properties, as well as morphological variations of the genitalia, are the major characteristics for the possible prereproductive isolation factors in speciation (Liao et al. 2016 @@CITATION@@ .In the case of C. chinensis and C. jukyungi, the transplantation and grafting of pear scions would increase the possibility of sympatric distribution in a pear tree. The potential for hybridization requires further study, particularly when the interspecific variations in genital characteristics are minute (Cho et al. 2017(Cho et al. , 2020)). Thus, it is essential to understand their present differentiation status and hybridization possibility, more genetic markers and samples from the overlapping distribution areas need to be evaluated. ","1. Motivation
2. Future
3. Similar",neutral
"Root sampi es were avoided in order not to damage the plants and because the root growth was poorly developed under pot growth conditions.For DNA extraction, central veins of leaves were used; a modification of the phytoplasma emichment procedure developed by Kirckpatrick was adopted (Malisano et al., 1996).In 1995, groups of 50 individuals of C. pyri were collected from the same infected orchard in July, August and September, respectively, and were then analyzed by PCR.For the analysis, the two different pairs of ribosomal primers used were: fPD/r0 1 @@CITATION@@ and AP3/ AP5 (Firrao et al., 1994) respectively.The DNA extraction from insects was according to Doyle and Doyle's procedure (1990). ","1. Usage
2. Support
3. Neutral",usage
"16SrI, 16SrII, 16SrIII, 16SrIV and 16SrVI were recovered as well-supported monophyletic groups, probably due to the limited sample coverage.Group 16SrXVIII was nested within 16SrXII as in the 16S tree.Group 16SrV was also recovered as a monophyletic lineage but with moderate support (bootstrap value 72).Subgroups 16SrV-A, -C, -D and -E formed a sister group to 16SrV-B (or 16SrV-B + 16SrV-F in 16S tree), which was previously reported as the most divergent lineage with respect to the other groups @@CITATION@@ Jung et al., 2003).The positions of 16SrV-A and 16SrV-E were different in the two ML trees. 16SrV-C and -D, including FDp and FD-rp strains, were consistently recovered as closely related subgroups (clade in the gray box, Fig. S1), and three main clusters (A, B and C in Fig. S1) were detected. The first two clusters (A and B) include FDp in subgroup 16SrV-C and FD-rp strains, whereas the third one (cluster C) includes a well-supported monophyletic lineage of strains belonging to the 16SrV-D subgroup (bootstrap value 98) sister to SI04-S4 strain, and siblings to the FD-rp strains ALY + PGY-B. ","1. Support
2. Similar
3. Neutral",neutral
"Paramere clavate, broad (Fig. 19), longer than distal portion of aedeagus.Tip of aedeagus hook-shaped (Fig. 20).Female proctiger longer than 0.8 mm; long setae in apical third arranged in longitudinal rows, peg setae covering more than apical third (Fig. 18 Outer circumanal ring angular laterally, slightly zigzaggy, consisting of a single row of irregularly shaped pores; hind margin of circumanal ring widely separated from hind margin of abdomen by more than half its length (Fig. 63).Lateral margin of forewing pad with 4-7 medium long, distinctly capitate setae (Fig. type=""figure"">62 (9) (10) (15) (16) (17) (18) (19) (20) (21) 23, 25, 27, 29, 31) Psylla pyrisuga sensu Kuwayama, 1908: 165; @@CITATION@@ Sasaki, 1954: 35;Miyatake, 1964: 27, nec Foerster, 1848: Diagnosis.Adult. Genal processes thickset (Fig. 15). Forewing oblong-oval (Fig. 16); veins dark, strongly contrasting with light membrane; apex of clavus lacking dark patch; surface spinules present in all cells, leaving broad spinule-free stripes along veins. ","1. Usage
2. Neutral
3. Support",neutral
"Liberibacter solanacearum also affects plants from the family Apiaceae such as celery (Apium graveolens L.) and carrot in Europe, Africa and the Middle East (Munyaneza et al. 2010a; 2015; Alfaro-Fernández et al. 2012a; 2012b; Loiseau et al. 2014; @@CITATION@@ Teresani et al. 2014).Symptoms of CaLsol in carrot and celery include abnormal proliferation of shoots, stem curling, as well as purple or yellow discoloration and root size reduction. In recent years, CaLsol has caused severe economic losses to the fresh carrot market in Norway, Finland, Germany and Spain (Munyaneza et al. 2010a;Teresani et al. 2014;Bertolini et al. 2015). Four different haplotypes of CaLsol (C, D, E, and H) have been found to infect Apiaceous crops in Europe. ","1. Support
2. Neutral
3. Similar",neutral
"Additionally, the infection of Citrus trees with the phloem dwelling proteobacterium Candidatus Liberibacter asiaticus induced the SA-pathway [72] and resulted in an increased emission of methyl salicylate from infected plants [73].Auxins (IAA and IBA) were shown to induce the recovery of periwinkle plants from 'Ca.P. pruni' and 'Ca.P. asteris' infections @@CITATION@@ , illustrating the importance of IAA in plant-pathogen interactions.Interestingly, the IAA concentration in infected P. persica plants was significantly lowered compared to healthy peach trees. A reduced auxin content was also detected in leaves of lime infected with 'Ca. P. aurantifoliae' [75]. ","1. Usage
2. Support
3. Similar",neutral
"Slow decline generally becomes noticeable in late summer or autumn when affected trees show premature leaf reddening, leaf rolling and early leaf fall.Further disease symptoms may vary in severity.Generally, infected trees are characterised by fewer, smaller and leathery leaves, reduced terminal growth, diminished fertility and fruit size and eventually, death of trees.A necrotic phloem ring at the graft union may develop (EPPO 2019; @@CITATION@@ .In Austria, pear decline is widespread (Steffek et al. 2011) and causes severe losses in intensive as well as extensive pear orchards. The main cultivar in intensive pear cultivation in Austria is cv. Williams' (around 40% of the total production, Statistics Austria 2019), a cultivar considered as very susceptible to pear decline (EPPO 2019). ","1. Neutral
2. Support
3. Similar",neutral
"In theory, the Prunus SEs have a higher flow resistance because of their shortness and increasing number of sieve plates, which might be balanced with a higher amount of CCs per SEs.The CCs guarantee the physiological function of the SEs and a rise of CCs per SEs might enable the Prunus species to establish higher pressures, higher viability or turnover.In particular, the P. communis/ 'Ca.P. pyri´-system is of high scientific interest, as disease severity shows huge variance from mild symptoms, such as premature foliar reddening, to severe growth depression and the quick decline of infected trees @@CITATION@@ .The physiological phloem parameters in pear and peach are more affected than in apple All observed results regarding the particular morphological (Figs 1234) and functional measurements (Fig 5) illustrate well the consequences of a phytoplasma infection for a plant. However, depending on the individual host-pathogen system, they are heterogeneous between the systems and specific within. ","1. Support
2. Similar
3. Neutral",neutral
"In summer, leaf yellowing or reddening in combination with leaf roll is the common symptom (Marcone et al. 2011).These symptoms are highly correlated with the presence of the phytoplasma as detected by molecular means (Jarausch et al. 1998;Jarausch et al. 2008).Infected trees may also show less specific symptoms like leaf deformation, reduced terminal growth, die-back and decline.ESFY is known to occur in most southern and central European countries @@CITATION@@ Marcone et al. 2010Marcone et al. , 2011) ) but it has also been detected in Asia Minor (Jarausch et al. 2000;Sertkaya et al. 2005;Tedeschi et al. 2013;Allahverdi et al. 2014;Valasevich and Schneider 2016) as well as in northern Africa (Ben Khalifa et al. 2011).Its highest spread is in the Mediterranean basin while its northern border ranges from England (Davies and Adams 2000) via Germany (Jarausch et al. 2007b) to Poland (Cieślińska and Morgaś 2011). In Germany, the first detection of the agent in different Prunus species has already been reported in 1992 by Lederer and Seemüller. Carraro et al. (1998) identified the psyllid species Cacopsylla pruni (Scopoli) as vector for 'Ca. P. prunorum' in Italy and Jarausch et al. (2001) confirmed the vector capacity of this psyllid species in France. ","1. Neutral
2. Basis
3. Support",neutral
"Hybridization analyses with a PD-specific chromosomal probe, pCPD-M10.CPD-M10 is a cloned 1.6-kbfragment of the PD chromosome.It contains three open reading frames that share homology and gene order with putative sugar transport genes in Mycoplasma genitalium @@CITATION@@ .CPD-M10 was amplified by PCR with primers fCPD and rCPD (13,21) from PD-infected pear DNA, and cloned with the TOPO TA Cloning System (Invitrogen, Carlsbad, CA). pCPD-M10 was digested with EcoRI to release CPD-M10, and the fragment was gel-purified (Prep-A-Gene; Bio-Rad, Hercules, CA). The purified CPD-M10 DNA was quantified with a minifluorometer (TKO 100; Amersham Biosciences, Piscataway, NJ) before being used as a standard in dot blot analysis or as a hybridization probe. ","1. Usage
2. Neutral
3. Support",neutral
